Объект; Место; Дата; Направление; Позиция; X; Y; 

Египтяне; Тутанхамон; 06.09.2023  17:35:56;  Forward;  5.0м ; 15253 ″; 1369 ″; 
Египтяне; Тутанхамон; 06.09.2023  17:35:56;  Forward;  5.5м ; 15168 ″; 1376 ″; 
Египтяне; Тутанхамон; 06.09.2023  17:35:56;  Forward;  6.0м ; 15002 ″; 1360 ″; 
Египтяне; Тутанхамон; 06.09.2023  17:35:56;  Forward;  6.5м ; 14944 ″; 1360 ″; 
Египтяне; Тутанхамон; 06.09.2023  17:35:56;  Forward;  7.0м ; 15149 ″; 1371 ″; 
Египтяне; Тутанхамон; 06.09.2023  17:35:56;  Forward;  7.5м ; 14800 ″; 1374 ″; 
