Объект; Место; Дата; Направление; Позиция; X; Y; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  25.0м ; 1249 ″; 1953 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  24.5м ; 1026 ″; 2225 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  24.0м ; 469 ″; 2429 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  23.5м ; 334 ″; 2414 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  23.0м ; 221 ″; 2010 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  22.5м ; -242 ″; 3195 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  22.0м ; -840 ″; 4264 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  21.5м ; -397 ″; 4209 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  21.0м ; -351 ″; 4328 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  20.5м ; -783 ″; 4800 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  20.0м ; -1277 ″; 5350 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  19.5м ; -1107 ″; 3708 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  19.0м ; -1765 ″; 4257 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  18.5м ; -2579 ″; 4487 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  18.0м ; -2910 ″; 4498 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  17.5м ; -2896 ″; 4196 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  17.0м ; -2706 ″; 4016 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  16.5м ; -2399 ″; 3865 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  16.0м ; -1656 ″; 3776 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  15.5м ; -932 ″; 3971 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  15.0м ; -268 ″; 4367 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  14.5м ; 638 ″; 4621 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  14.0м ; 1386 ″; 4478 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  13.5м ; 2082 ″; 4132 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  13.0м ; 1797 ″; 4367 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  12.5м ; 1111 ″; 4450 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  12.0м ; 881 ″; 4666 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  11.5м ; 459 ″; 5290 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  11.0м ; -204 ″; 6005 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  10.5м ; 1192 ″; 5316 ″; 
