Объект; Место; Дата; Направление; Позиция; X; Y; Звенигород; ПИ_2; 12.02.2025 12:37:16;  Forward;  0.0м ; -1018 ″; 1544 ″; 
Звенигород; ПИ_2; 12.02.2025 13:06:16;  Back;  2.5м ; -1254 ″; 6567 ″; 
Звенигород; ПИ_2; 12.02.2025 13:06:46;  Back;  3.0м ; -2008 ″; 6872 ″; 
Звенигород; ПИ_2; 12.02.2025 13:07:16;  Back;  3.5м ; -2429 ″; 7001 ″; 
Звенигород; ПИ_2; 12.02.2025 13:07:46;  Back;  4.0м ; -2882 ″; 7254 ″; 
Звенигород; ПИ_2; 12.02.2025 13:08:16;  Back;  4.5м ; -3493 ″; 7170 ″; 
Звенигород; ПИ_2; 12.02.2025 13:08:46;  Back;  5.0м ; -3695 ″; 6884 ″; 
Звенигород; ПИ_2; 12.02.2025 13:09:16;  Back;  5.5м ; -3299 ″; 6323 ″; 
Звенигород; ПИ_2; 12.02.2025 13:09:46;  Back;  6.0м ; -2911 ″; 5576 ″; 
Звенигород; ПИ_2; 12.02.2025 13:10:16;  Back;  6.5м ; -3254 ″; 5254 ″; 
Звенигород; ПИ_2; 12.02.2025 13:10:46;  Back;  7.0м ; -3281 ″; 5062 ″; 
Звенигород; ПИ_2; 12.02.2025 13:11:16;  Back;  7.5м ; -3762 ″; 5307 ″; 
Звенигород; ПИ_2; 12.02.2025 13:11:46;  Back;  8.0м ; -4441 ″; 6451 ″; 
Звенигород; ПИ_2; 12.02.2025 13:12:16;  Back;  8.5м ; -3323 ″; 6182 ″; 
Звенигород; ПИ_2; 12.02.2025 13:12:46;  Back;  9.0м ; -1940 ″; 5928 ″; 
Звенигород; ПИ_2; 12.02.2025 13:13:16;  Back;  9.5м ; -428 ″; 5932 ″; 
Звенигород; ПИ_2; 12.02.2025 13:13:46;  Back;  10.0м ; 990 ″; 5511 ″; 
Звенигород; ПИ_2; 12.02.2025 13:14:16;  Back;  10.5м ; 1192 ″; 5316 ″; 
Звенигород; ПИ_2; 12.02.2025 13:14:46;  Back;  11.0м ; -204 ″; 6005 ″; 
Звенигород; ПИ_2; 12.02.2025 13:15:16;  Back;  11.5м ; 459 ″; 5290 ″; 
Звенигород; ПИ_2; 12.02.2025 13:15:46;  Back;  12.0м ; 881 ″; 4666 ″; 
Звенигород; ПИ_2; 12.02.2025 13:16:16;  Back;  12.5м ; 1111 ″; 4450 ″; 
Звенигород; ПИ_2; 12.02.2025 13:16:46;  Back;  13.0м ; 1797 ″; 4367 ″; 
Звенигород; ПИ_2; 12.02.2025 13:17:16;  Back;  13.5м ; 2082 ″; 4132 ″; 
Звенигород; ПИ_2; 12.02.2025 13:17:46;  Back;  14.0м ; 1386 ″; 4478 ″; 
Звенигород; ПИ_2; 12.02.2025 13:18:16;  Back;  14.5м ; 638 ″; 4621 ″; 
Звенигород; ПИ_2; 12.02.2025 13:18:46;  Back;  15.0м ; -268 ″; 4367 ″; 
Звенигород; ПИ_2; 12.02.2025 13:19:16;  Back;  15.5м ; -932 ″; 3971 ″; 
Звенигород; ПИ_2; 12.02.2025 13:19:46;  Back;  16.0м ; -1656 ″; 3776 ″; 
Звенигород; ПИ_2; 12.02.2025 13:20:16;  Back;  16.5м ; -2399 ″; 3865 ″; 
Звенигород; ПИ_2; 12.02.2025 13:20:46;  Back;  17.0м ; -2706 ″; 4016 ″; 
Звенигород; ПИ_2; 12.02.2025 13:21:16;  Back;  17.5м ; -2896 ″; 4196 ″; 
Звенигород; ПИ_2; 12.02.2025 13:21:46;  Back;  18.0м ; -2910 ″; 4498 ″; 
Звенигород; ПИ_2; 12.02.2025 13:22:16;  Back;  18.5м ; -2579 ″; 4487 ″; 
Звенигород; ПИ_2; 12.02.2025 13:22:46;  Back;  19.0м ; -1765 ″; 4257 ″; 
