Объект; Место; Дата; Направление; Позиция; X; Y; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  4.0м ; -2835 ″; 7189 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  3.5м ; -2260 ″; 5617 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  3.0м ; -350 ″; 4163 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  2.5м ; 2304 ″; 1161 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  2.0м ; 3348 ″; -2211 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  1.5м ; 2494 ″; -1485 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  1.0м ; -396 ″; -952 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  0.5м ; -1925 ″; -675 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Back;  0.0м ; -1923 ″; -666 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  16.5м ; -638 ″; 1512 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  16.0м ; -402 ″; 2153 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  15.5м ; -523 ″; 2112 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  15.0м ; -568 ″; 2057 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  14.5м ; -700 ″; 1787 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  14.0м ; -894 ″; 1785 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  13.5м ; -2363 ″; 2173 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  13.0м ; -1832 ″; 1511 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  12.5м ; -1543 ″; 1416 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  12.0м ; -1376 ″; 1283 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  11.5м ; -1534 ″; 1152 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  11.0м ; -1869 ″; 1205 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  10.5м ; -2187 ″; 1880 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  10.0м ; -2399 ″; 1687 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  9.5м ; -2938 ″; 1649 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  9.0м ; -3489 ″; 1402 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  8.5м ; -3532 ″; 598 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  8.0м ; -3632 ″; -757 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  7.5м ; -3399 ″; -2232 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  7.0м ; -3558 ″; -3256 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  6.5м ; -2632 ″; -3582 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  6.0м ; -1279 ″; -3584 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  5.5м ; 126 ″; -3757 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  5.0м ; 458 ″; -4850 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  4.5м ; 348 ″; -3864 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  4.0м ; 30 ″; -1576 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  3.5м ; -27 ″; 997 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  3.0м ; -586 ″; 2468 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  2.5м ; -2517 ″; 4138 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  2.0м ; -5210 ″; 7150 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  1.5м ; -6376 ″; 10068 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  1.0м ; -5620 ″; 9552 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  0.5м ; -2718 ″; 8414 ″; 
Звенигород; ПИ_2; 28.06.2024  17:24:01;  Forward;  0.0м ; -657 ″; 7910 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  16.5м ; -1795 ″; 4899 ″; 
