Объект; Место; Дата; Направление; Позиция; X; Y; 

Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  2.5м ; 7284 ″; 4061 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  2.0м ; 7300 ″; 4067 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  1.5м ; 7348 ″; 4102 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  1.0м ; 7356 ″; 4107 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  0.5м ; 7354 ″; 4105 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  0.0м ; 7359 ″; 4108 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  2.5м ; 7332 ″; 4089 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  2.0м ; 7335 ″; 4090 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  1.5м ; 7334 ″; 4089 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  1.0м ; 7290 ″; 4052 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  0.5м ; 7302 ″; 4061 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  0.0м ; 7327 ″; 4077 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Back Start;  3.0м ; 7449 ″; 4090 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Back;  2.5м ; 7442 ″; 4087 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Back;  2.0м ; 7440 ″; 4085 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Back;  1.5м ; 7447 ″; 4091 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Back;  1.0м ; 7452 ″; 4095 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Back;  0.5м ; 7454 ″; 4097 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Back;  0.0м ; 7446 ″; 4091 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Forward;  3.0м ; 7602 ″; 4187 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Forward;  2.5м ; 7567 ″; 4158 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Forward;  2.0м ; 7546 ″; 4146 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Forward;  1.5м ; 7546 ″; 4145 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Forward;  1.0м ; 7548 ″; 4148 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Forward;  0.5м ; 7546 ″; 4147 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:07:12;  Forward;  0.0м ; 7545 ″; 4146 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward Start;  3.0м ; 7409 ″; 4102 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  2.5м ; 7388 ″; 4081 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  2.0м ; 7387 ″; 4080 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  1.5м ; 7395 ″; 4086 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  1.0м ; 7395 ″; 4086 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  0.5м ; 7387 ″; 4079 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  0.0м ; 7393 ″; 4085 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Back;  3.0м ; 7387 ″; 4069 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Back Start;  2.5м ; 7396 ″; 4074 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Back;  2.0м ; 7385 ″; 4061 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Back;  1.5м ; 7229 ″; 3924 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Back;  1.0м ; 7216 ″; 3913 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Back;  0.5м ; 7310 ″; 3996 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Back;  0.0м ; 7354 ″; 4040 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Forward;  2.5м ; 7356 ″; 4037 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Forward;  2.0м ; 7350 ″; 4036 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Forward;  1.5м ; 7304 ″; 3993 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Forward;  1.0м ; 7213 ″; 3910 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Forward;  0.5м ; 7344 ″; 4044 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:28:21;  Forward;  0.0м ; 7347 ″; 4035 ″; 
 ; ; ; Finish; ; ; ;
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Back Start;  2.5м ; 7358 ″; 4042 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Back;  2.0м ; 7362 ″; 4046 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Back;  1.5м ; 7353 ″; 4037 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Back;  1.0м ; 7356 ″; 4041 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Back;  0.5м ; 7357 ″; 4041 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Back;  0.0м ; 7359 ″; 4043 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Forward;  2.5м ; 7358 ″; 4039 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Forward;  2.0м ; 7354 ″; 4037 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  17:29:22;  Forward;  1.5м ; 7355 ″; 4037 ″; 
