Объект; Место; Дата; Направление; Позиция; X; Y; 

Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  2.5м ; 7284 ″; 4061 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  2.0м ; 7300 ″; 4067 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  1.5м ; 7348 ″; 4102 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  1.0м ; 7356 ″; 4107 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  0.5м ; 7354 ″; 4105 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Back;  0.0м ; 7359 ″; 4108 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  2.5м ; 7332 ″; 4089 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  2.0м ; 7335 ″; 4090 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  1.5м ; 7334 ″; 4089 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  1.0м ; 7290 ″; 4052 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  0.5м ; 7302 ″; 4061 ″; 
Бухгалтерия; ПИ_2; 09.10.2024  16:40:10;  Forward;  0.0м ; 7327 ″; 4077 ″; 
